"Title","Poem"
"Gabdulla Tukay   My Legacy","My tired soul, let peace be your reward,
It’s time to go to Allah, meet the Lord. 
Lift up your head; reveal your honest eyes,
Then take one final look into the skies. 
My friends, let mullahs heed my last request 
For them to sing my verse, when I am put to rest."
"Gabdulla Tukay   The Reply","Pushkin and Lermontov, two poets, two stars…
The third one is Tukai, he comes from the Tatars.
The venom you just drank exacerbates the pain,
Dreams of fortune and fame drive you insane.
The sea is infinite, no matter how you try,
You spill the water, and your tongue is dry.
You, sordid, miserable creature, stay away
Find other dogs like you, and join the fray,
Bark from a distance at the Milky Way."
"Gabdulla Tukay   From Shakespeare","What is it sitting on my loved one’s cheek?
An arrogant fly somehow managed to sneak;
What a happy creature this fly must be
Almighty God, why couldn’t it be me?"
"Gabdulla Tukay   Winter, Farewell","Winter go away, we’re tired of the cold.
Welcome spring is here, her carriage is of gold.
Vanish, Santa Clause, keep safe your snowy beard,
Watch out for the flowers you hated and feared.
The spring does not need a rifle or a sword
Her suite of butterflies obeys her every word."
"Gabdulla Tukay   Miracle","“All magic ended with the Prophet’s death; and never
Will a camel rise from stone, and no endeavor 
The moon’s great sphere shall split in two,” the sages say.
Should I believe them? Nay… A miracle occurred today.
It happened, that a friend of mine was passing by, 
And paid me back his debt – God only knows why!"
"Gabdulla Tukay   It Must Be Him","He’s the king of gossip, knows every tale.
Recently he bought a suit on sale.
A dandy, indeed, welcome everywhere,
Of his dancing prowess he’s quite aware.
No question, he knows how to snoop
In the paper you can read the scoop."
"Gabdulla Tukay   So Let Her Laugh","“Stop tormenting yourself: this girl is not for thee
She loves thee not, it is not meant to be.”
“Indeed, she makes a fool of me, I know,  
So what… Her teeth are white as snow. 
That pearly smile of hers, it is a fortune worth,
So let it brighten lives in heaven and earth.”"
"Gabdulla Tukay   Epitaph","I feel your heartbeat in my soul; you never died,
Your warmth and grace the two of us have tied,
And if you die, death is my only choice,
But while I breathe, I’ll hear your gentle voice.
You’re in my mind, yes, you are in my heart,
Not even death can break us two apart.
My love for you will never be surpassed,
And memories of it until my deathbed last."
"Gabdulla Tukay   Great Joy","Joyful you should be, men of Petersburg,
Same I want to wish to people in New York.
Hey, Berliner folks, where are your happy smiles?
Londoners, bring cheer to the gloomy British Isles.
I want to see you beaming, ‘shorties’ in Japan,
Finnish people and Chinese, it’s time to have some fun.
There is just one, who all of you could spare,
He’s Musa, Allah’s envoy, so better be aware."
"Gabdulla Tukay   Not All That Glitters Is Gold","At night a dazzling, splashy butterfly
Over the flowers joyfully would fly.
Then, once, he noticed something from afar,
Twas shimmering and shining, like a little star.
The butterfly loved beauty. In pure exultation 
He swiftly flew toward the amazing radiation.
It was a tiny ember in the bonfire left by a stranger, 
Landing on it the butterfly died, unaware of danger."
"Gabdulla Tukay   Summer Morning","It is getting lighter, violet morning nears,
While the hazy crescent in sadness disappears. 
The stars up in the skies melting away in peace,
The leaves start rustling, patted by the gentle breeze.
Abundant sunshine over night prevails,
Rips off its gloomy garb, the rolling field unveils, 
The lakes now sparkling like a magic glass,
Tired of waiting endlessly for the night to pass.
Lilies giggle with glee like in a fairy tale,
Nightingales in their songs the brilliant morning hail.
Clouds in the heavens stay as if they were on duty,
Marveling from above at nature’s endless beauty.
True, one can’t help the summer morning to admire,
Poet, this glorious time should your talent inspire."
"Gabdulla Tukay   Hard Work","My child, work hard until day comes to an end,
That’s what Allah wants, for that he will commend.
After a fruitful day you will sleep well at night,
Get up in the morning and learn to read and write.
Go on with your work, rest on Friday, my son,
Awakening the dawn – that’s the job of the sun.
Yesterday it worked and tomorrow, too, it will,
After getting tired it shall hide behind a hill.
The sun needs some rest and so does the earth,
Hard work will make you into a man of great worth.
It is a chance for you on earth to find your berth."
"Gabdulla Tukay   Repentance","I met some charismatic men who from within were rotten, 
Godless people to avoid – this rule I had forgotten.
By their deceptive smiles I got carried away,
How could I so rashly my ideals betray?
My mind always used to be so sharp and clear,
Yet a puppet in a play I’ve become, fake and insincere.
I should have avoided them, and left by them alone,
Like a star in the sky I’d shine, free and unknown.
Far away from earth I should have held my torch,  
Never deigning these arrogant men to approach…
For how long I shine, it is for Allah to decide,
He is the One, who sets a time for us to die. 
In misery I am buried, darkness fell upon me,
I am imprisoned here, day I will never see.
Hypocrites surround me, nowhere to hide or run,
I will never enjoy the moonlight or the rising sun. 
My lofty oaths and sacred work were empty promises,
Nobody sees Kaaba in absolute pitch darkness.
My soul cannot breathe – there is not enough air,
The suffocation of betrayal plunges me into despair.
No matter how hard it may be, put up a fight.
Once you give in, death will be your plight."
"Gabdulla Tukay   We Will Not Leave!","These people desperately want us all to leave:
“This land is wrong for you, under the Sultan live,”
We disagree, refusing to surrender to these lies,
For every ten spies here, there will be fifteen spies.
The Cossacks’ squads are merciless in clashes,
They wear fezs, too, and slash our backs with lashes.
We’ll never get from thieves and thugs a fair deal,
’Cause each of them is happy from a hungry man to steal.
So, thanks, but no thanks, we have no desire
To jump from the frying pan right into the fire.
When our towns pack up and leave, then we shall all agree
To leave this land for good, taking along our history.
Here we were born, and destined were to die,
With this country Tengri chose our people to tie.
We want to stay in Russia when the land is free.
You won’t make us leave, dark souls, this you’ll never see!
Leaving one’s home requires special courage:
Why won’t you go their first? Bon Voyage!"
"Gabdulla Tukay   I Feel Sick…","It is the crack of dawn, another senseless day about to start,
First sleep escaped me, nightmares then tore me all apart.
I’m all alone, whoever comes, he’s not the one I chose.
He sits right next to me, yet nothing makes us close.
What happened to my love for people and compassion?
Immersed in misery, meat and blood I see in my obsession.
My soul is frozen in life’s chilling frost,
Icy barriers surround me, here I am forever lost.
Isn’t a gorgeous girl just like a winter butterfly?
Instead of hiding in the warmth, she attempts to fly.
The earth feels sticky underfoot, I’m almost out of breath,  
Both sorrow and joy I see in the approach of death.
Life has lost its meaning – the fount has been exhausted 
In my soul. I see the end now, the abyss of death, instead.
There is no one to turn to, no place to go…
In Kaaba I see idols, on Islam’s body sits a crow.
Is it an Oblomov syndrome or, perhaps, a serious illness?
Let my skin dry out but spare my heart from emptiness.
 I am trying to patch up the beshmet of my soul,
Medication does not help, it only widens the hole.
When lonely, I used to sing, making it less tough,
Now my voice is hoarse, I cannot sing, I cough."
"Gabdulla Tukay   Admonition","If you see a beggar approaching your door,
Be merciful to him, his needs do not ignore.
You are no different – we are all great Allah’s slaves, 
This man begs for your mercy, a crust of bread he craves.
In this world he’s not the only who miserably fails,
Somebody gets the heads, and somebody the tails.
Power and wealth do not forever last,
Today you may be rich, tomorrow all is in the past.
To this bedraggled beggar be generous and kind,
Of Khyzar Ilyas his white beard should remind."
"Gabdulla Tukay   Tatar Youth","I am really proud of our Tatar youth.
I like the way they learn, discovering the truth.
Their thoughts are so inspiring, deep and bright,
Talented young people – what a joyful sight!
This generation came the deep seas to explore,
To make the clouds vanish and the rains to pour.
Their sacred dreams – they will revive our lands,
And stream down mountains to our luscious plains.
They will raise their swords for freedom, not plunder, 
The rumble of their fight will echo like thunder.
Our nation’s crown shines, it needs no sapphires, 
Youth is our precious gem that everyone admires."
"Gabdulla Tukay   Advice","My dear friend, please listen to my advice:
Conceal your secrets, or you’ll pay a price.
Your tears, grief and laughter you should hide. 
Your soul’s a treasure box, your greatest source of pride.
How cruel and spiteful is our callous human flock,
They love themselves, the rest they hate and mock.
They are like beasts, which you can never trust,
Even the fiercest wolf they have surpassed. 
You cannot keep your secrets, oh, how pitiful and sad,
The instant you have shared them, you are as good as dead.
You know how wolves go hunting for their prey,
Beware of evil — it will twist whatever you may say. 
If you are hurt, possessed by doubts or fears,
Cry softly when alone but always hide your tears,
And if they ask you why your eyes are wet,
Just tell them they are wet because of sweat."
"Gabdulla Tukay   Fame","Fame and glory is not why poetry you write,
Don’t hide your soul, leave it in full sight.
Stop complaining, humbly suffer through your pain.
There’s more to talent than prominence and fame."
"Gabdulla Tukay   It’s a holiday!","The world is joyful and merry today,
People have gathered for their holiday.
Everybody here is jubilant and gay,
A young man strums the saz – it’s a holiday!
The sun in the sky wears its festive attire,
For all folks the holiday to enjoy and admire.
There’s a faint whiff of magic in the air,
The world has been given perfume to wear.
A bedraggled beggar came up to a bai –
The rich man embraced him – it’s a holiday!
I went to the river, since I decided to stay,
Watch the waves splash and whisper: it’s a holiday!
Even the stubborn wind had something nice to say
In its light, gentle rustle – it’s a holiday!"
"Gabdulla Tukay   My Native Tongue","Oh, my native tongue, there is no other
Like the one spoken by my father and mother.
Whatever I have learned since when I was young
It is all thanks to you, my sweet native tongue.
My first words to utter I was not yet able,
Mother sang me lullabies, while rocking my cradle.
I’ll forever remember the tales from my granny —
She told me one each night, of them she knew so many.
If it weren’t for you, oh my beautiful tongue,
To this day I’d be speechless and hopelessly numb…
But you are so gracious, together did we grow,
You taught me to express my happiness and sorrow. 
Oh, my native tongue, how could I ever forget
That first prayer to Allah, which I myself read?
“Oh, Lord Almighty, in your mercy, please save
My poor parents and me – I’m your humble slave.”"
"Gabdulla Tukay   Autumn","Look around, my friends, autumn is here,
And winter in its white cloak is already near.
The birds are moving southward, flying far away, 
They have a better place where it is safe to stay.
The forest dyed in yellow, soon all its leaves are gone,
The harvesters have gathered their grain and corn.
Naked seem the fields, bald like a Tatar’s head,
The lark dives from the sky, hunting for his bread.
Small pockets of grass retain the gleam of silk,
The sun is getting tired – its rays are growing weak.
Darkness ousts the light. It makes me so sad.
The wind is cold and nasty, spins around my head.
Autumn is depressing, as everyone agrees,
Flowers lose their bloom, leafless stand the trees.
A forsaken graveyard is brighter than this field,
Without the summer grass, gone is its glossy shield.
Six months of heavy slumber… So I can shut my eyes,
Oblivious completely to those gloomy skies.
Nothing will awake me, neither heavy wind nor rain,
I will awaken only when spring comes back again.
The carpet of young grass will tempt me to lie down.
Happy I will be like the shah showing off his crown.
I wonder why my people aren’t happy in their land.
So let the day take over, and night come to an end.
Will I ever see this happen while I’m still alive?
Just a dream it is, alas, first I have to die."
"Gabdulla Tukay   To a Disgraced Tatar Girl","You stand alone, from your friends apart.
I feel your pain and moan, it breaks my heart.
Yellow like parchment is your grieving face,
With desperation filled and torment of disgrace.
Like a discarded puppy or a wounded bird.
I see your moving lips but don’t hear a word. 
Where’s the wealthy bastard you curse and wish to strangle?
We have aplenty villains — each one could kill an angel.
They have chosen to shaitan their souls to sell,
Why should it surprise us they’re not afraid of hell?
Yesterday I met the jerk, who caused you all this pain,
Selfish, vile and heartless, he’s doing it again.
Enjoying every minute of his barbaric spree,
While you suffer here, leaning against a tree. 
I wish you heard my words, believed that I’m your friend,
It is the poet’s mission to love and understand.
Though my heart is broken, my soul cries out in grief.
I wish my love and poetry could bring you some relief."
"Gabdulla Tukay   Two Suns","The earth lights up when the sun its journey starts.
When Sahibjamal appears on stage, she wins her people’s hearts.
The Creator has given these two such a magnificent glow,
While the Sun shines in the skies, the actress – in her show."
"Gabdulla Tukay   Bitter Plight","I wonder what would happen if I wasn’t born at all?
Poison seals my fate, forsakes my wretched soul.
My life goes by in circles, year after year,
I suffer through the winter, till summer’s heat gets near.
Why should my life be endless, where is my final rest?
Instead of one large step – I make three small, at best.
While looking at the sunrise, I see a bloody stain,
The murky shroud of early dawn is witnessing my pain.
If not for Allah’s anger I’d take my own empty life.
I’m destined to die of illness, not of a gun or knife."
"Gabdulla Tukay   Man in Love","When a lad is cheerful, joking all the time,
There should be something he intends to hide.
His love he is concealing, this miserable liar,
No smoke to see around, but he’s indeed on fire.
Cheerful and witty, he giggles, jokes and quips,
Then his beloved appears, and he quickly shuts his lips.
His cheeks are now ruby red. No matter how he tries
He cannot help but turn away his pleading, lovesick eyes.
He sees his charming guriah and cannot speak a word,
Numb and stunned like Moses who heard the voice of God.
Enough of that! Get serious, throw stupid jokes away.
A Muslim man has only Great Allah to obey.
The sounds of azan loudly remind us all to pray."
"Gabdulla Tukay    Lament","We all are so sinful, vile and spoiled inside.
Captured by corruption, in evil we abide.
Cherishing wrong values, not willing to repent,
We sell our souls for nothing, not even for a cent.
Filthy we become on this ungodly path,
Not only our bodies, – our souls need a bath."
"Gabdulla Tukay   I Will Not Sell Out","A sacred work for people was to you assigned.
But then a bunch of fiends entrapped your mind.
They said you must adjust to this imperfect age, 
Unless against its rules you plan a war to wage.
This transient world is stifling for whatever I begin,
But I refuse to bow, for my soul it would be a sin.
All my thoughts flow there, into boundless eternity
Ruled by perfect, glorious, everlasting beauty!
There I wish to shine and stay forever young,
When darkness falls on earth I will replace the sun.
And while in the sky I continue my jubilant walk,
All those on earth will set by me their watch or clock."
"Gabdulla Tukay   Evening Wish","The light in the flickering lamp is about to expire,
I have a burning ember in my breast, my thoughts are dire.
I better hurry up with my poem – the lamp is out of oil,
Not sure what I wrote makes sense… More paper I shall spoil
Scribbling line after line, ignoring commas and dots…
Later in the day I’ll sort my haphazard thoughts.
The dying flame is hopeless, it’s barely on,
I watch its final agony, it sighs, and then it’s gone.
What shall I do? It’s dark, but after lying down,
In my own gloomy thoughts I begin to drown. 
Tortured by insomnia, I suffer in the dark,
Till the lamp I address with this pitiful remark:
“Do not light up tomorrow, I beg you, lamp, and pray,
Until the Judgment Day in bed I wish to stay!”"
"Gabdulla Tukay   Recollections","Life in paradise – that’s what Iblis recalls when he is tired,
I am tired of myself, I wish I was again a child.
Those days my soul, like water in the creek, was fresh and clear, 
Green as the shoots of grass, which in the spring appear. 
There is no place for sorrow; life’s beauty beckons you,
The earth sprinkled with diamonds, the sky is turquoise blue,
Life without sadness, happy, joyous, and just,
Your entire self you can to nature trust.
Admire trees and flowers, watch how they grow,
Listen to the gentle voice of a chirping swallow.
Your soul thrives on beauty – innocent and pure,
Love flowing through it for the sun and all of nature
With never-ending kindness your soul is overfilled,
As if a bridge between the sky and earth is being built.
If you share your bread with those who are in need,
Proud you are of being generous, defeating greed.
Adults will read you a book from time to time,
It might even be poetry, with its melody and rhyme.
Listening, however, makes you drowsy. Hard as you try
To stay awake, your eyes are shut, and they refuse to lie. 
Your dreams are rosy; sleep is quiet and sound,
But when you wake at dawn the sun is not yet round. 
Tahir and Zuhra’s story suddenly makes you cry,
As you think of these two lovers who destined were to die."
"Gabdulla Tukay   The Critic","I wrote a myriad verses, some are good, I’m told.
Yet, my critics always find plenty in them to scold.
For each of us these folks will find a scathing word.
I have a friend: his words are sharper than a sword.
He sees a windmill and “No water!” he will scream,
While looking a watermill he claims it has no steam.
He grabs a horse by the tail: “Oh, what nice long hair,
But why won’t it grow on its head instead. I think it is unfair.”
“The plowman ruins the earth,” he will insist.
“You, writers, from critiquing them should not desist.”
What could be wrong with a sheep’s belly, yet he is on his toes:
“For Russian vets,” he will lament, “these Tatars are real foes.”"
"Gabdulla Tukay   Comments on Love","Opinions vary on what real love is worth,
Great Heine thought it was a star that fell on earth.
Yes, on earth, but in manure, in dirt it fell, 
Wrapping up the universe in slops and toxic smell 
The pig is honking in that yard, and cackle says the cock,
O, poor star of love, they know how one to mock!
Yet in this dreadful place the star sees pleasant dreams,
Flowers blossom there all year in happier realms."
"Gabdulla Tukay   Kazan and Beyond","The city of Kazan up on a hill is radiant like a torch,
Tall as a candle is each mosque, minaret, and church.
Kazan, your light shines forth for other towns so bright,
Showing all and sundry, which way for them is right.
Tetyushi and Spas, Chary and Chistopol,
They are so dear to me I’d like to name them all.
Kazan, look round at these towns and villages,
While sharing light with them, you linger in dark ages.
The spot beneath a lamp or candle has no light,
God, I hate this wisdom ’cause it’s damn so right."
"Gabdulla Tukay   Not Funny","Some things may sound quite funny in a poem of mine,
And yet it speaks of suffering, of our curse’s sign.
The tortures of my soul, indeed, they make me laugh,
How long am I doomed to suffer, as though I hadn’t enough?
My grief is like a snake with such deceptive shiny skin.
Deep fear mixed with happiness; instead of a smile – a grin.
Oh no, I am in sorrow through my days, I swear.
You’re staring at my shoes? Galoshes I choose to wear."
"Gabdulla Tukay   Hopelessness","My soul, leave my body and go back to the skies,
The era of spirit is gone, we live in dark times.
I beg of you, do not accept this vile world again,
O, Sun don’t rise, hide, turn into a muddy stain.
Flowers, cease to grow, forget the dream of spring!
To ashes you will turn, when earth stops breathing, 
Friendship and pure love today are little worth,
Shirin and Farhad, just know, hell is become of earth.
Stop thinking all the time, you, great men and sages.
Let tyranny be cursed, and left to former ages.
Vanish should every dangerous disease,
Tyranny, the worst of them, you never should appease.
Stop raising hands to Allah, all you, who were turned away,
You will get back your rights on the Judgment day. 
Stop joking and laughing, you should not sing or dance,
Listen to earth moaning – all fun should stop at once.
O, how wrong for truth is our century,
These days have no place for real poetry."
"Gabdulla Tukay   Without Title","A poet has to know what songs he sings,
His nation has a soul, and he must touch its strings.
Life is hard, so his rhymes are filled with sadness,
Forget your stupid jokes and joyful madness.
Long, dark and piteous is the road,
People break their backs with life’s heavy load.
In their souls many hide their grief,
Buried so deep inside, there is no relief.
Poor creatures, with sorrow they can’t unveil, 
Too bad, joy and laughter won’t in their life prevail. 
Blessed are only those who treat themselves to booze,
This venom of oblivion for themselves they choose.
After getting drunk they start this world to praise,
Elevate their egos in a drunken haze."
"Gabdulla Tukay    A Holiday in Childhood","Childhood in his memory a poet keeps,
Everyone has a dream, both bitter and sweet.
Holiday comes, I wish I were a child, to laugh and play,
The eve of Garafa saw sadness swept away.
I recall how impatiently I waited for the dawn,
Eager new ichigs, my new shirt and pants to put on.
Sweet were my dreams before night left my doorway,
In my dreams so bright was this upcoming holiday.
I’ll always remember my Mother’s gentle voice:
“Gaid Namaz is here, get up and let’s rejoice!”
Running like crazy along the crowded streets,
Who was happier than me? It was pure joy and bliss.
And right after the prayer, I would blithely laugh.
O, the yummy taste of Qurbani meat – never enough.
In my memory engrained, I can’t hold back tears,
How joyful was this time, those unforgettable years.
Rays of light from the sky streaming down upon you…
Not just one sun was shining, but at least two. 
O, Great Allah, I beg of you and pray.
Let me go back, and in my childhood stay,
Rejoice in cheerful laughter and endless merry play."
"Gabdulla Tukay    Potatoes and Enlightenment","From America, potato, you’ve made your journey here,
Enlightenment arrived from Europe, which is near.
O, potato, at first you looked so odd and weird,
People were prejudiced to you and thought you a ‘jadid’:*
“Sinners brought it here, who refuse by God to abide.
Can’t you understand? Potato’s poisonous inside!”
Poor little thing, whether a vegetable or fruit,
People despised you, pulling out every root. 
“Whoever eats the nasty thing will be punished,”
“Evil apple” they called you and urged you banished. 
Good for you, potato, these wicked times are gone,
Comfort in the belly of a Tatar you have won! 
You know, a Tatar burps and says how Allah’s great.
The Tatar praises the Lord, after emptying the plate.
Enlightenment, this pattern you should follow:
Just give our men the wisdom fruit to swallow."
"Gabdulla Tukay   Sick in the Country","Winter, I pine in the village, hopelessly ill,
In summer, peasants labored so hard, now all is still.
I feel lazy too, taking a break with other men,
Hoping come spring to be healthy again.
My poems mirror gloomy winter thoughts,
At times I think of bread, potatoes cooked in pots.
Potato, come to me, you’re my favorite for sure.
The wealthy love your taste as do the poor.
You traveled from America to suffer with us here,
Sad is our people’s fate, its ignorance austere."
"Gabdulla Tukay   To Genius","On this world you witnessed darkness fall,
You had to find a spark, some lofty goal. 
Determined to succeed, no thought you had of rest, 
Marching courageously, passing every test.  
What happened to you then, it is not clear,
You suddenly looked back, when already near.
The blaze you saw came not from light but gold,
Neither life it had nor warmth, nothing but cold.
Of all temptations this is probably the worst,
Seduced were many others, you were not the first.
Never look back, my genius, only ahead,
A straight path awaits those by Allah led."
"Gabdulla Tukay   Immorality","We have no respect for morale or decency,
Hopeless we are, our souls are so shady.
No better than a thief who hunts his prey,
We’ve become cautious with everything we say.
If one is bright but poor, we won’t say a word,
Eloquence we bequeath as the rich man’s reward."
"Gabdulla Tukay   Betrayed","I had enough of mockery to crack my heart,
We were together but now it is time to part.
Not to the Quran’s ayats you chose to adhere,
You deceived me with sweet nothings, now it is clear.
My passion is worth more than empty words, fake tears,
Who but myself to blame for the many wasted years?
With a phantom obsessed, I was chasing the wind!
Your beautiful blue eyes were always on my mind,
You were so close to me, an illusion in the sky,
That bleeding heart of mine is tired, let me die.
I can see the smiles of my gloating foes,
They knew all along how hopeless it was.
My life a living hell, I shed tears day and night,
Holding on to hope, when I had lost the fight.
For all my fruitless efforts I had a better use,
Serving my beloved nation – that’s what I had to choose.
If I were not bewitched, I’d chose the rightful way,
And my people would honor me till the Judgment day.
What did you do to make me trust all those lies?
I failed to see your true self under the fake disguise.
I have devoted to you my noble poetic soul,
What did you give me in return, your beauty ever cold?
Goodbye my love, from now on you enchant me no more,
Find another man, perhaps him you’ll truly adore."
"Gabdulla Tukay   The Prophet","When Allah chose me as a prophet who will teach
His word, I took it as a bond that I’ll never breach.
I am his humble servant, time has come to preach
Eternal truths, good equally for poor and rich. 
Whether a pauper or a padishah, we’re all the same: 
Each one of us is sinful, we must take the blame.
I called for them to love their neighbor so deep 
I could not eat, I could not drink, I could not fall asleep. 
But if they only had a chance to stone me to death,
They eagerly would do it, until my final breath. 
Because of my ayats, I victim fell to lies,
To hatred, mockery. But their rejection I despise.
It’s pointless to whine, it’s useless to complain.
You never question, why has Allah caused this pain?
I looked like a beggar, shabby, hungry and tired –
My only hope was to run, so I could peace acquire.
Here in the desert, all by myself, alone 
I pray, and praise, and glorify the throne.
Here I see the worlds that I’ve already passed,
Of the good and evil of the past, I know the good will last.
I see the nations that are gone — samouds and gads. 
I see the bottom of the sea with fish in myriads.
Here I comfort and tame the cruel hungry beasts
They sheepishly give up on their bloody feasts.  
The lions and the panthers all had to be sworn,
They’ll never eat a prophet, we won’t have to mourn. 
But when I enter a big city full of noise,
Then all the people suddenly rejoice. 
Angry sages can be heard, saying to the youth:
“Look at this crazy man, who claims to know truth!
He is a nobody, yet he wants to satisfy his pride,
He’s challenging the laws we all have to abide. 
Sons, learn your lesson from this loser’s plight.
He’s an outcast, he has lost his hopeless fight. 
Cursed be this lunatic, who wants us to believe
That he is wise enough to teach us how to live. 
How dare he think that he can preach in Allah’s name?
We won’t let this happen, he will die in shame!"
"Gabdulla Tukay   Eulogy","…You’ve finally departed, kitty cat…
Farewell, my lovely purry pet!
Honored as a saint upon demise,
You were so merciless to mice…"
"Gabdulla Tukay   Truth and Lies","There was nothing but water ages ago.
Truth and Lies swam together — two bitter foes.
Almighty Tengri sent them just one boat, 
But they were eager to cut each other’s throat.
It didn’t take long before they started to bicker, 
With such animosity, it could happen even quicker.
Lies struck the first, with the strength of a mighty hand.
And Truth vanished forever, never reaching land."
"Gabdulla Tukay   Your Hand","Your hand makes happy me, I’m your slave,
Your magic touch is a caressing wave,
It shines like gold fish in a summer pond.
An angel’s hand and yours in a friendly bond,
My wounded soul it will help to cure.
Whatever I am to face you help me to endure.
I’m entrapped in your hand, I’m in love.
So strong is your grasp, I cannot move.
The dawn of true happiness you let me see,
And this feeling is greater and deeper than the sea.
At the touch of your gentle and wonderful hand,
I ascend to the sky, with no beginning or end.
Slender and graceful like a silver birch,
You inspire my poetry, you’re my torch.
Please forgive me the fantasy world of my verse,
No, your hand isn’t so perfect, of course.
And yet, I worship your wonderful palm
That makes me feel so humble and numb."
"Gabdulla Tukay    The Dance","Young couples dancing through the night,
The orchestra plays loudly, what a delight!
Women are offering candies for sale,
Candy wraps glisten like a fairytale.
Such merriment and joy, onlookers say,
See how the crowd is carried away?
Guess who stole the show? – A goat and a lamb!
Kicking their hooves up high – bam, bam."
"Gabdulla Tukay   A Girl with Ugly Teeth","“I am constantly surrounded by guys.
Each of them is trying to be nice…”
Poor thing, she was completely at a loss,
She had no clue how these lads to toss.
No question, they were flattering her pride,
Luckily, there was a way to get this knot untied:
“Getting rid of them is easy — simply laugh,
They will run from you, your smile is grim enough.”"
"Gabdulla Tukay    Some People Like…","Someone likes winter, but the freezing cold
Makes poor people shiver, both young and old.
And others like summer, its beauty and grace…
But what about those who don’t have a place
To hide from the heat – for them it is hell,
They dream of a shelter where to dwell.
Admire this world with its rivers and seas,
Then why do I dislike it the way it is?
We, sons of Adam, are this world’s disease."
"Gabdulla Tukay   If Not For…","So cold’s the finest art without a flaming heart.
The rose in bloom is pale without a nightingale.
The poet extols your image in disguise,
You trust the mirror – your reflection lies. 
There are so many pretty girls under the moon,
Who would’ve heard of Leila if not for her Mejnun. 
Such beauty ought to be in poetry engraved
Lucky is the poet by your charm enslaved."
"Gabdulla Tukay    To… («He met you somewhere on his way…»)","He met you somewhere on his way,
The joyful lad got carried away:
“Quran praises you as the best of the best? 
There’s no one like you in the East or West.”
Amazed that the Holy Book has been mentioning her,
He purchased the Quran in the Sabach bookstore."
"Gabdulla Tukay   Impression","When I’ve these downfalls in life, 
When my pain is sharper than a knife,
I begin to read the magic surahs of Quran.
They send my grief and sorrow on the run.
All doubt leaves my heart and I cry,
Tears are clear, as pearls, almost dry.
I’m a Muslim, the Iman relieves my soul,
Burdens, go away, I have a clear goal.
Allah, I accept the things you wish to bar.
“Allah’s great!” – I shout. – “Allah akbar!”"
"Gabdulla Tukay   A Chat","At times, I sit in front of her, admiring her eyes,
Her pupils dark, her eyebrows black, the beautiful disguise. 
I don’t know where she’s coming from; she knows not what I mean,
Yet hours pass by, she still recounts what she has heard and seen.
Still as a sphinx, my eyes on her, I echo every word,
And so she thinks I am in love, enthralled with what I’ve heard.
In fact, I cannot understand a single word I hear.
What is the sense? Why even try? It’s pointless, I fear.
If she perceives that I pretend she’ll fly into a rage.
But ’tis the truth, I cannot lie, her fears I can’t assuage.
I hate it when she carries on, obsessed with empty matters.
Why can’t she say, “I love you so!” Instead, she sits and chatters.
She is prattling at me, always happy to share…
I gladly respond but continue to stare
At her, so she’s sure I’m in love.
That might be the reason why I can’t move. 
I am all attention. My pose is so tense,
I hear every word but can’t make any sense."
