"Title","Poem"
"Gabdulla Tukay   To My People","You occupy my thoughts both day and night
Your health is mine; your plight, it is my plight
Oh people mine, you sacred above all
You I cannot betray for all the world
With boundless joy to you I will belong
To you I’ll consecrate my poet’s song
I don’t know why these words should ring so true
I yearn to be the people’s poet, borne of you
The nation’s dream above all dreams must soar
In my own mind, it maddens and it roars
Oh Tengri, I will be her poet… loyal, whole
That is the greatest aspiration of my soul
Oh heavens, take my soul, not my renown
To be forgotten? Better yet to drown.
For I can die, but death won’t take my name
My deeds and efforts should enjoy eternal fame
To be remembered by my people is my goal
I’ve written of my love, befriend me in your soul!"
"Gabdulla Tukay   Love Is Strange","It is a summer day, it is extremely hot.
A man is sweating, so he takes a pot,
Fills it with water, ready to cool off.
He suddenly begins to tremble and to cough. 
Already naked, he starts having doubts
Apparently with some of his old freak-outs.
He takes the pot with water and then puts it back.
Then takes it again… He thinks he’s on track.
It’s hot outside but the water is cold,
So he is ready to put his bath on hold.
But he has to prove he is brave enough,
He stops for a second to tremble and cough.
So he spills all the water over his head,
And that makes him happy and awfully glad:
“How clever I am, I am always on top,
I didn’t get wet, not even a drop.”  
I hope, you got the irony of this verse,
The story I told, is a joke, of course.
But it is like my love, which has driven me insane
I run like Shurale – will I see her again?
I’m hiding my eyes when I see her by chance.
She thinks I am calm, I get nervous at once.
I constantly live with this passionate flame,
I write all my verses without my name.
Why should I continue to behave like a fool?
And yet when I see her I’m distant and cool.
My heart is on fire, I’m burning alive.
If only she leaves – I’ll maybe survive.
Finally I’m told she’s moved back home,
No verses to write, my thoughts can roam.
Who wrote them all, she can only guess
She’ll never learn the truth I have to confess.
My poetry is good to be a rug under her feet,
She is welcome to stand on it, to lie down, or sit.
If she wished to leave this place, so let it be,
I will keep the secret of my poetry with me."
"Gabdulla Tukay    To Pushkin","Pushkin Alexander, please accept my admiration,
I am a poet too, from thee I get my inspiration.
O wizard of the verse! Thou make the stones dance,
To be a poet without harmony or music – not a chance!
I am enchanted by the magic strength of perfect rhyme,
God chose Alexander to be the genius of his time.
The Solar light and warmth defeat dark night and cold,
The world is blessed to shine under the Sun of Gold.
I dared to invade the orchard, where the tree
Of Pushkin bears its fruit. I tasted it… Delicious poetry!
I wandered in thy orchard, full of singing birds.
I flew along with them – I sang but in my own words.
Thy lyre is like a creek, it touches every nerve,
That’s why the monuments to you – you fully them deserve.  
I never claim to understand thy credo and beliefs.
The only dream I have it is to learn from thy motifs. 
O God Almighty, is it possible at all? 
Bestow on me the talent that will match my call."
"Gabdulla Tukay   Hope","My sleepy consciousness, you had enough of dreams,
You, clouds, go away, chased out by the sunbeams.
Blind and confused, I’m desperate and tired,
O, pull me out of darkness – where’s my guide?
I’m so deep in the abyss, throw me a thread,
Which I can hold on to, otherwise I’m dead.
You’ve inspired me, the brightest torch of truth!
Without the light you shed, the sun’s no use.
Reveal your glory; coming are the days
When darkness falls and light forever stays.
Instead of bread I swallow only stones,
My legs are weak and fragile are my bones.
I tried to catch a bird, instead I got a frog,
It’s hard to see, I’m helpless in the fog.
I befriend an evil foe while punishing my peer.
I don’t have a heart so I pierce him with a spear.
I’m waiting for the light that’ll show me the way,
Don’t go down, sun, please shine another day.
My consciousness lies dormant, it’ll wake up again,
The noble soul of mine I promise to regain.
On the ground the eagle fell but he is born to reign."
"Gabdulla Tukay   The Field in Winter","The field is covered with a blanket of snow,
The earth is asleep, spring postpones her show.
All nature will sleep yet another cold month,
Waiting till winter surrenders to warmth.
Green grass under ice will be released,
Birds will be coming back from the East.
Sunny and shiny come April and May,
Night is getting shorter, longer stays the day.
Birds will be chirping in the woods again, 
Thunder will roar loudly, followed by rain.
Sun will be greeted every day anew, 
On the grass night will leave cold droplets of dew. 
Sleep, earth, stay warm, remain patient and calm,
This happy spring time has yet to come. 
Sweet be your dreams, keep your blanket on,
Smiling, you’ll wake up when winter is gone."
"Gabdulla Tukay   The Crescent and the Sun","There is a golden cradle in the Himalayan heights,
The one who sleeps in it is guarded through the night.
When the Sun is rising, the Wind is already there
Praising the Sun’s entrance, the world must be aware.
The Wind serves as a herald whose duty is to say:
“The Sun’s already up, greet another day!”
And when the Sun is out, performing his daily race,
Crescent, his young brother, takes the cradle’s space.
Never left alone, he’s surrounded by the stars,
Like the tiniest of torches, they shine from afar.
Crescent in the cradle sleeps for the entire night,
Till the Sun awakens Him with early morning light.
Day comes after night, brother comes after brother,
While one of them rests, he can count on the other."
"Gabdulla Tukay   My Village","Up on the hill, is my village, my aul,
There is a creek, with water pure and cool.
I feel its taste, I know its every part,
I love this place with all my soul and heart.
Here, praised be Allah, I was born and raised
And with the Holy Book, Quran’s ayats amazed.
Here I was told about Muhammad’s life,
Our great prophet, who had taught us to survive.
When I remember that, my eyes fill up with tears
In memory forever live these childhood years.
How with my brother in the field we used to plow
And grains of wheat and rye in soil sow.
I’m still a stranger to this world, but who is not?
I still have much to learn, to see a lot.
And yet I know but one most sacred rule
In memory to keep my village, my aul."
"Gabdulla Tukay   Kitap","In those moments when my spirit is low,
I hate myself, I feel nothing but sorrow.
With pangs of remorse I look for a place,
Where I could peace and comfort embrace.
I’m in a total void, miserable and sad,
Dark thoughts race spinning through my head. 
My eyes have barely dried of tears,
A still darker image before me appears.
In moments like these I turn to the Scripture
What I find on its pages my mind can picture.
And suddenly joy fills my poor exhausted soul,
Chasing away dark thoughts and making troubles go.
Every page I read, every line and every verse,
Turn to shining stars, showing me the course.
O, how meaningless become all these earthly concerns,
My eyes are opened and the light returns.
Now I’m forgiven, I am redeemed and safe,
That’s what the Holy Book means for Allah’s slave.
It brings back confidence, self esteem and trust,
With hope I view the future, leaving behind the past."
"Gabdulla Tukay   To a Child","Shurales and genies – there is nothing to fear,
They are not for real, they’ll never appear.
In old times people believed in shurales,
But we know now those were just folk tales.
For imaginary ghosts there aren’t any meadows,
Shurale likes forests to hide in the shadows.
In the meantime have patience, and study for now,
Learning will help you all this to know."
"Gabdulla Tukay   Birds","Foolish birds, let me staunch your fear,
No need to panic while I’m standing near.
I enjoy the language of these birds,
Lord has made them sing without words.
Sing your tunes, don’t fly away or run,
I join you unarmed, I’ve no snare or gun.
In peace I come, without squabble or strife,
I pose no danger to freedom in your life.
Man can be a friend, if you’ll just believe,
After listening quietly, I promise you to leave."
"Gabdulla Tukay    To Guria (Heavenly Nymph)","In heaven, if I chance upon your face
In it, I’ll see my own reflection’s trace.
I know that you beguile and charm,
Entrance, envelop, and disarm.
Your beauty is the heavens’ art
Celestial grace in every part.
I love you, love you without shame,
My love a constant, lapping flame.
I will forget worldly delights,
Your proud bearing in my sights.
Your every word a healing balm,
My soul awakens in your palm.
Your body dwarfs celestial spheres,
Your tongue a prayer for all ears.
No nightingale can match your voice,
Oh, who could part with you by choice?
You, who are holy and revered,
Mere mortals dare not touch you here.
Your beauty peerless and divine,
Among so many, still you shine,
An emerald, a precious stone . . .
But not the same as our own.
Of praises you shall have your fill
But earthly girls are dearer still."
"Gabdulla Tukay   Get Rid of Gold!","Allah, God Almighty, let gold be cursed,
Of all the earthly evils this one is the worst.
Call for your archangels, whom you have to tell
That this yellow metal belongs in hell.
All the yellow shaitans should in fire burn,
This revenge poor people have surely earned.
Save this world of ours from shaitan and Iblis,
Life without gold will be our blessing and bliss.
Gold is pure evil, tempting people’s lust,
Those who worship gold keep the devil’s trust.
Much as I have traveled, been to many lands,
This world is ruled by gold, gold beckons and commands.
Truth is overshadowed by the golden calf,
Who will fight the devil – who will say ‘enough’?
Torah, Quran, Bible – the Word of God is told.
Yet people, deaf and blind, still believe in gold."
"Gabdulla Tukay   From Byron","A year from now, you’ll chance upon this verse,
You’ll see, perhaps, this sad song run its course
And ponder how the poet must have yearned
To give his heart for you, he must have burned.
Though strange a little, he could sing a song,   
This tragic figure with his love so strong;  
You’ll think, he is no more; he’s played his part
Beneath his verse, he buried his whole heart."
"Gabdulla Tukay   The Swallow","A swallow by my window is building a nest,
Carrying branches for it, not knowing rest.
She endlessly brings twigs of wood and clay,
Putting love and hard work in it day after day.
So her house now looks quite solid and good,
Everything’s ready for her wondrous brood.
Hushing her babies with sweet lullabies,
To feed them, she catches mosquitoes and flies,
She works all day long, and only in the night
She covers her head with her wings and sleeps tight.
Nothing awakens her, neither thunder nor wind,
She sleeps with the little ones on her mind.
What people are doing she could not care less,
The swallow’s enveloped in her happiness."
"Gabdulla Tukay   To Your Portrait","I look and worship these dark brows and eyes,
Praised be the artist who drew her so nice.
He ordered the sun to pour gold on her hair,
No other beauty to her can compare.
Forgive me, dear sun, for your rays are too weak,
You pale in the shadow of her gorgeous cheek.
If Mejnun was here and saw her by chance,
The love for his Leila would vanish at once.
In the Garden of Eden, I strongly believe,
Adam would surely prefer her to Eve.
Harut and Marut were both tempted by devil,
This angel could help them to struggle with evil.
The taste of her lips is as sweet as sorbet,
And those who shall try them, immortal will stay.
When Iblis, the devil, was rejected and expelled,
Just one glance at her, and he’d regret he rebelled.
So, sing her hosanna, oh birds of the earth,
Or die by the knife, you’ve disproven your worth."
"Gabdulla Tukay   Evening in Winter","I like to watch the kids on winter nights at home,
The house is warm, they’re sitting by the stove.
The kids are joyful, one next to the other,
And nothing makes them sad and nothing seems to bother.
While listening to fairy tales, the night is not so long,
They do not hear the wind, howling and strong,
It’s angry, trying to tear down the wall.
The birds are all a’tremble, large and small.
Kids, feel lucky, you’re warm and fed,
Think of all those without home or bread.
No one to feed these poor orphans, no place to go,
Just this windy night with no tomorrow.
Frost is biting at their noses and ears,
Little icicles have grown from their tears.
Kids, remember all those poor and needy,
Think of them, don’t be selfish, heartless, greedy."
"Gabdulla Tukay   My Will","My soul, you finally rested, so answer my call.
Allah awaits you once and for all.
Time has come to look death in the eyes.
Just one last request to all my friends:
“Let mullahs read my verses when my life’s path ends,
Let those who cry infidel, shamefully run.
I am full of belief in the Holy Quran!”"
"Gabdulla Tukay   In Allah You Should Trust","My innocent child, you’re sinless, and just,
Allah, the Lord, is the One you should trust.
No one is as merciful, as our Lord,
He will light up your path in this world.
He is so generous, forgiving and kind.
Your soul is sinless, and sinless stays your mind.
The words you pronounce never hurt anybody.
Your soul is stainless, and so is your body.
My little angel, so innocent and pure,
Prayer to Allah is your remedy and cure.
Strengthen your faith in Allah the Lord,
Nobody is kinder than Him in the world."
"Gabdulla Tukay   Poet","Time will pass, I will age and grow old,
Hunched, enfeebled and nearly bald.
But my soul will stay young, it will never surrender
While I nurture the flames of passion and anger.
They give me strength to lift the heavy rock.
The day is young and through the spring I walk.
A poet knows no winter and no cold.
Let my body age, but not my soul.
I refuse to sit and mumble, and lament,
Allah give me strength, I do not want to bend.
I’ll heat the whole house with my rhymes,
And I’ll be singing when my hour arrives.
Asrail, he cannot silence me.
Yes, I am leaving but you all will be.
I’ll remain a poet ’till I feel death’s blow,
And Allah summons me into the earth below."
"Gabdulla Tukay   A Mother’s Prayer","The effervescent moon over the village rises. Night.
Painting the houses silver, bathing fields in light.
The people sleep. You cannot hear a peep.
They worked from dawn to dusk; their sleep is sweet and deep.
The dogs don’t bark; there is no sound, as if the village died.
Yet on the edge, there is one house whose window casts a light.
And in that house, after her evening prayer
An older woman sits; her thoughts so far from there,
Her arms raised up in prayer, she asks about her son:
“Oh Allah, make his life a happy one!”
And as she speaks, her cheeks are bathed in tears.
How can such prayers not reach the Creator’s ears?"
"Gabdulla Tukay   When Moscow Reins You in","Haji, your hardships will begin,
When Moscow starts to rein you in.
When they start getting hard on you,
What are you going to do?
You thought of yourself as rich and tough,
Whatever you had it was never enough.
You’ll soon be confined to your cell in jail,
When Moscow picks you out to nail.
You mocked the theater everyone adores,
Spending time with thugs and filthy whores.
“Gotcha,” people now will triumphantly say,
Moscow will deal with you the hard way.
The pious mullahs will run from you away,
They are the first ones a friend to betray.
No doubt, it will happen to you too,
When Moscow comes after you.
What about all your devoted friends?
Soon as they see you caught, their friendship ends.
Young people you would shamelessly turn in,
Same will happen to you when Moscow brings you in.
The infidels and you still live in paradise,
But it’s about to change, you will pay a price.
Time will come to answer for each and every sin,
Better be prepared when Moscow calls you in.
I am deeply worried about your sorry fate,
Listen to my words before it is too late. 
As a friend I warn you, believe me this is true, 
You will see it happen when Moscow comes after you.
You had wed four women, you were enjoying life,
Now you’d be happy with one and only wife.
For your thoughtless deeds there is a heavy toll,
Which Moscow will prove when it takes you under control…"
"Gabdulla Tukay   A Mouse That Fell in a Bowl of Milk…","(from an American newspaper)
I don’t know how or why, but this I’m told,
A little caged mouse fell in a bowl
Of milk, swam back and forth, could not escape,
The milk was liquid, drowning was her fate.
All frantic motion, where will she be safe?
She’s paddling here and there, she keeps her faith.
Her work was not in vain, I’m pleased to utter,
She swam so long, that milk turned into butter
And for a moment you could see her standing there.
Then, she leapt off and ran into her lair.
My dearest one! If you are treading that same bowl,
Be patient, stoic, don’t forget your goal.
With lips of honey you I praise for high moral,
But when I’m faced with evil, I will quarrel.
In my directness, meanness takes her stage,
It is enough to make me fly into a rage.
“Why so?  You’re not allowed,” I yell. “You’re busted.”
“Oh, fools, just go to hell.”  I am disgusted.
And if they aim at me with nonsense, I don’t say
That they are wrong, and that is not the way…
“You are mistaken in your aim, friend, take your arrow,”
I say all friendly, though it pierced me to the marrow.
My heart is bitter, bitter turns my rhyme.
It’s undercooked, although I thought that it was time.
I want to free a songbird from my chest,
Instead, a cat meows there, oh what a pest!
A rainbow holds its color for all hours,
Each taste will find its match in sweet and sour.
I also mix the sweet and bitter in my deed,
Following Lermontov and Pushkin as my creed.
Slowly but surely I climb ever higher,
I want to cry out from the quivering spire.
From such great heights, I am afraid to fall
But I will brave the way, I’ll reach my goal.
My dormant feelings finally will awake.
No grave needs to correct me, I am no mistake,
And in my heart, Tengri will light the path,
Watch after me with patience, not with wrath."
"Gabdulla Tukay   A Tale about a Goat and a Sheep","Once there lived a man together with his wife.
So often were they troubled by the life.
Perhaps it was because they had a goat and a sheep,
Which were so thin and even couldn’t leap.
 
«Wife, listen», said the man one day,
 «You know how short we are of hay. 
I’d like the goat and the sheep the real life to taste.
For what they eat is just a waste».
Without arguing the wife said to the man: 
«Let them together leave us, that’s your plan. 
Of course, my husband, right words you’ve said. 
What’s use in them? They’ve never even bred».
The goat and the sheep were at a loss,
But they obeyed; the man was their boss.
So in a grief like this they took a bag
And made the way through fields along the crag.
In silence walked they rather long.
The world for them was like a mournful song,
And only God knew why them he led
To see so suddenly a dead wolfs head.
The goat full of fear wouldn’t touch the head, 
The sheep was also scared, almost dead. 
Thus, stood they both close to the head, 
«You are to touch it», they to each other said.
The goat said, «Oh dear sheep, so strong you are!»
The sheep replied, «But bravery of mine from yours is so far»
Thus, two companions, having chicken hearts,
Were too afraid to take it in the hands.
At last they took a hold of that big head 
And seizing by the ears to their bag they fled. 
Soon the monstrous head was in the bag, so deep. 
What a relief they felt, the goat and the sheep.
So further walked and walked our two friends.
The road seemed for them to have no end.
But soon they saw a fire in the dark.
«Let’s there spend the night», the goat’s was remark
«Bad wolves are certain not to come to it. 
We shall be safe, the place is so lit». 
The goat wisdom saw in this advice. 
And hoped it wouldn’t turn to have a vice.
Close came they up to this bright light. 
What a nightmare saw they in the night. 
Four wolves were sitting close to it 
And boiling water for some meat.
The goat and the sheep when saw this sight, 
The hearts of theirs sank; they got a lot of fright. 
«Oh, wolves, my friends, you are all here!» 
The goat said not to betray her fear.
How happy were the wolves when them they saw;
 «The meat has come itself, we don’t wish more. 
We shall be quick to catch them both. 
The meal will be the best, we take an oath».
The goat said, «Don’t think too much about meat. 
We have a lot of it in our bag, so neat. 
Don’t waste your time, oh sheep my dear friend, 
We have a nice wolfs head for them to lend».
The sheep was quick to take it out of the bag
And showed it to the wolves without any lag.
So using moments when the wolves received this smash,
The goat went on cutting this enormous dash.
The goat said «How stupid one can be?
This tiny one offends my friends and me. 
We have twelve heads, so take a bigger one, 
You should respect my friends, it isn’t fun».
The sheep, thanks to our God, caught this trick
To take the same head out of the bag she was so quick,
And when in front of them another head was laid.
Oh, poor wolves! Believe me. They were so much afraid.
The wolves forgot the thought of eating. 
They only thought of rapid leaving. 
And having made the minds to run away, 
They waited for a chance to be on their way.
The eldest wolf soon rose and then he said: 
«l guess for our meal we’ll need some bread. 
I’ll go to the village to look for some, 
My friends, I promise quickly back to come».
Thus their chief went to the village for some bread. 
Time passed, but their waiting seemed to have no end. 
Of course, the eldest one was wise enough to flee. 
And this result was definitely to foresee.
The wolves got frightened even more, 
For their chief was one who knew the law 
Of being fast and swift to run from danger, 
Especially if you met an awful stranger.
The eldest one was followed by another soon, 
Who in his turn home went to take a spoon. 
Again in vain they waited for some time, 
But leaving friends for them was not a crime.
The other two were also soon away, 
They didn’t want to take part in the fray. 
The goat and the sheep soon felt a relief. 
It was the God who helped them and belief.
The fire soon warmed up two our friends, 
They even cooked a meal from odds and ends. 
And having eaten, they rested for a while, 
The night was spent on such a soft big pile.
The goat and the sheep woke up at dawn, 
They took the bag which saved them from that mourn 
Again they made the way through fields and woods, 
But as for us, let’s part with them for goods."
"Gabdulla Tukay    The Water Maid","(Told by a country boy)
I
Тhe summer day was hot and sunny, and I was swimming in the lake; 
A splash of water, games so funny and dives I liked to take.
This merry way I did enjoy my playing for an hour
And certain was I not to sweat, moreover short I was of power;
So quickly I ran out of the lake to put my clothes on.
But what was wrong? A sence of fear! And all my friends were gone!
To leave the place I was about, but suddenly I saw a bridge.
And on the bridge I saw an awful woman. Was she a mermaid or a witch?
In the daylight, broad and clear, golden combs of hers I saw. 
She was doing her long hair, I had doubts no more.
 
Breathless, frightened even shocked stood 1 there not so long; 
In the shade of old thick trees I felt tremor in my knees.
Having combed her thick long hair, splashing water in the air 
In the waves she dissapeared. Oh, my Lord, I so feared.
As for me I ran towards the bridge, thoughtless was of course that siege. 
But how great was my surprise: golden combs of hers beheld my eyes.
What I did — I looked around. Not a single soul was seen.
Like a thief I took one from the ground. Oh, of me it was so mean.
Seeing nothing on the way, I was rushing far away.
I was burning in the fire, would I get through all that mire?
Time was endless, so I thought, looked around, her I sought. 
What I saw was awful, scary. I was followed by the fairy.
«Will you stop? Don’t run away! How unlucky is the day!»
Shouting she was chasing in a line. «Don’t you know the comb is mine?»
I was trying to escape, she was roaring like an ape. 
In the field I was alone, being followed by her moan.
Running this way so fast, came the village into view at last. 
Soon the dogs began to bark, it was such a nice good mark.
«Bow-wow-wow», — the dogs were barking, after her they all were darting, 
«Now it’s your turn, be afraid, good-for-nothing ugly maid».
So the business being settled, though the creature was too nettled; 
I achieved my evil goal. Heavens! I was on a roll!
On my coming to my place, rushing home at such a pace, 
Told my mum I with a burst that enormous was my thirst.
I showed her a comb of gold, tried to look so brave and bold, 
Words of mine that it was found seemed to her to have no ground.
Farewell! The sun went down and at once I went to bed. 
I was lucky not to drown. Thanks to God I wasn’t dead.
While I was upon my pillow, sleep did not befall on me.
I heard knocking at the window. Oh, my God, I wished to flee.
Notwithstanding all that noise, I behaved like real boys.
But my mum was soon awake, would she know I was a fake?
«Who is there making dogs to bark? Who is walking in the dark? 
Decent people stay at home, night is not the time to roam!»
«People call me Water Maid and of gold my combs are made. 
One was stolen by your boy, give it back, it’s not a toy!»
In the sky the moon was bright. I was left by all my might. 
Trembling I lay in my bed. If I could, I would have fled.
She was knocking all the time. Her concern was very prime. 
Water dropped from her long hair, was she only my nightmare?
Mother quickly took the comb, threw away it from my home. 
Prompt she was to lock the door, she wished troubles no more.
When we got rid of the maid, to the Lord she humbly prayed. 
Then she scolded me in time, stealing things was such a crime.
Since that time I understood, let it be a thing or food,
Not to touch and not to take what was left not for my sake."
"Gabdulla Tukay    Shuraleh","I
In vicinity of Kazan there’s a village named Kyrlai,
Their chorus is the mightiest when its cocks in loud cry.
Not that born was I in Kyrlai, but I stayed there for a while,
Hard at work with harrowing, sowing, harvesting — all in due time.
I remember thick black forest, by the village like a wall,
I remember field and lawn, soft as velvet in the dawn.
Would you think that village’s big? — No, my dear, not at all.
Here is fresh water taken from the cheerful spring hole.
Air isn’t cold or hot — it’s all comfortable there.
When the raspberry — strawberry paint red the nearest lawn,
In a blink of eye your pail will be filled with their lot!
Fascinating land! Pines, fir-trees like the guardians stay alert,
Often used to rest beneath them, turning powerful twice more.
Here or there seeing mushrooms, sorrel, buds or flowers’ blossom
Under birch or aspen-tree — having been obsessed too close to them
Such a balmy air’s here from those blooming fragrancies,
Colored blue and colored yellow, variegated red, white, lilac!
And so motley butterflies are, making rivalry to bloom,
Flying, taking off and coming, — fed with nectar are they all!
And you feel sometimes as if birds of Paradise are singing,
Making heart stop sweetly still, and your soul wings do quiver.
All in one place, here they are! — theater, orchestra and ballet,
Concert, circus, boulevard — all that makes you ever jolly!
Huge as Khan Chingiz’s troops, like the giant with thousands heads
Endless forest starting there, as deep ocean rise in waves.
I see through the ancient time, our forefathers lived in,
Their glory, their names, lovely stories, lovely views
Of their honorable state.
As if curtains on the stage open are again
And at last you see them all, wondering what we are now —
Still, we are the sons of Lord blessed!
II
I described the summer beauties, — autumn, winter are ahead.
Maids innocent and black eyes will be featured a bit later.
Sabantui celebrations, horse race, holidays on site
If I each of them remember, I’ll be too far from my path.
Well, you see, that I’m diverted, thinking of the village fun,
Would you tell me what’s the title? — «Shuraleh» is signed above.
Wait a minute, please, my dear, friend of mine, you see my puzzle
In the moment when the village views again come into my mind.
III
And of course, that dense thick forest as we see it nearby
Is a home to wolves and foxes — every beast of pray alive.
Here a bear is sure to meet you, if you hunt him in a brake,
These are common things to hunter — seeing hare, facing elk.
But they say, black forest’s homeland for the evil spirit crew:
Devils, werewolves and goblins, shuralehs are frequent, too.
Why not? Endless forest shows miracles, as do the skies —
Many miracles in heaven, never seen and never tried!
IV
That’s a nice start to my story — small narration that I tell:
It was summer full-moon evening, when Dzhigit left home, he dwelt,
Making horse-way to the forest — needs some firewood to get.
Stars were twinkling in the sky, horse was mettlesome, indeed —
In a blink the dense drew nearer, and Dzhigit was inside it.
Fascinating silence seized him, when he looked around, amazed.
Dzhigit took to work at once, cutting firewood with ax.
Oh, indeed, Dzhigit was master of his job, and quick at work,
Night was flying by, invisible, as his ax was cutting log.
Taken breath was light and free, and cool air braced Dzhigit,
Ax in hand, — and there was nothing to retard him in his deed.
Suddenly, the tranquil air has been broken by a cry,
And the woodcutter has shuddered, as if bitten by a fly.
Then he stood alert, all ear, to see Something on the path —
Was it spirit or a human, or a werewolf’s black mouth?
Who was that disgusting monster, smiling such an awful smile?
Ugly nose of the being touched his chin, as long as knife.
Long thin hair of a beard, knotty all from top to toe,
Deep black eyes without eyelids were sparkling as a coal.
He was somewhat like a human, thin and lean, — if not a horn,
Black horn, finger-size was leaning, middle forehead sticking on.
Neither daylight, nor in night-time could you stand his look — God save!
Though his crooked arms had the fingers, straight and long as are the nails.
V
So they stared at each other for a long time, and Dzhigit
Bravely asked the ugly being: «Who are you and what’s your wish?»
«Don’t be scared, you, the human, I am not an outlaw.
Nor as innocent as baby, -1 am used to cheat you all.
When I see the lone person in the forest — tickle guy,
Now I see that you are single, and I dance for joy and cry!
Show me your fingers quickly, let me closer to ‘see,
You’ll play titi-titi-titi — titillating game with me!»
«Well, I’m not against at all, no objections but at first
Meet my will, it’s not as big…» — «Tell me everything you want.
I’m at your disposal, only hurry up, I’ll keep my word».
«Well, I see that you agree with my offer, — learn it now:
See that heavy fir-tree beam? If I help you, on your turn
Will you take it to my truck?
Beam is chopped on your side — easy carry, easy go!
Take the log by split and thus let us draw it on the slow.
Have you caught idea? — then hurry up, you, timber-cow!»
Shuraleh has followed strictly orders told him by Dzhigit,
Quickly fixed his fingers in long and deep split of the beam.
Now I think, you are aware, what woodcutter plotted on:
There was a wooden wedge in open mouth of the log.
Sly Dzhigit was very tricky, slightly hammering his ax.
Shuraleh was quite submissive, sure that he winner was.
Wooden wedge was loosened free by the knocks of ax at last,
Shuraleh’s ten fingers were clutched by the beam — so fast!
That was moment, Shuraleh cried of pain and saw the trick,
Pleading with his forest brothers to release him in a blink.
Shuraleh was begging Dzhigit, praying him as saint:
«Oh Batyr, release, forgive me, save me for God’s sake!
Swear you, oh mighty human, forward since today
I shall serve your will and never dare to attack!
And your progeny and offspring never be unsafe,
And my brothers in the forest will take care of them.
Strolling in the forest never will be blame.
Let’s make peace, you see, enough I am chastised, bless you God!
Do you like my troubles and pains?» — suffered poor creature, crawled.
Silently Dzhigit was leaving for his home without a word,
Seeing no other reason in the monster’s screams and oath.
Holding horse by bridle gently, stepped he forward, free to act…
Seeing that he wouldn’t follow him, Shuraleh said in despair:
«Pitiless you are and hostile to the peaceful Shuraleh,
Only thing before you leave — tell me name of yours, Dzhigit!
Hope, that hearing my voice, brothers rescue me tomorrow —
If me only to survive — then they ask the name of wrongdoer».
«Well, calm down and be quiet, — said the daredevil boldly, —
«Past» my name is, understood? I should be your elder brother.
Now I’m leaving, say good-bye, and don’t worry, cheer up!»
Shuraleh still screaming, weeping asked for pity more and more,
Pleading, threatening, entreating, loosing head of grief and sorrow:
«Help! Release me from the split! Crime against me is sure —
Past has squeezed my fingers, cheat! Devil, gangster, killed me, poor!»
In the dawn the shuralehs came to see him on the place:
«Crazy, silly, senseless creature, long and loud is your cry,
Shut your mouth and be silent, for your screams too stupid are,
Squeezed your fingers in the past, then why are crying you at moment?!»"
"Gabdulla Tukay    Mother’ prayer","Evening comes to the Tatar village; the magic bright moon is in the sky
Under its light all seems silver: houses, roofs, fields nearby
Very silent. Working people fell asleep because they’re tired
From the sunrise till the sunset they are working very hard
Any sound heard around, even barking of the dogs
But in one house in the suburb a little trembling light still burns
An old woman in that house has knelt down on a prayer rug
And her soul is soaring now very high in heavens’ hug
She has raised her hands in prayer and her wish is only one
She is whispering with devotion asking God to bless her son
Bitter tears are slowly rolling down her wrinkled face
Do you really suppose that God will not shed His grace?"
